tf	gene	motif	force
ZNF341	ENSG00000268836	1	23.8828324469449
ZNF322	ENSG00000228028	1	23.741252174164
ZNF385D	ENSG00000272829	1	18.9134469057955
ZNF385D	ENSG00000277368	1	18.392729491593
ZNF385D	ENSG00000186075	1	17.3516523585746
ZNF385D	ENSG00000232671	1	16.8549224180073
ZNF385D	ENSG00000268129	1	16.8321588011153
ZNF385D	ENSG00000236528	1	16.8096182393677
ZNF385D	ENSG00000178913	1	16.7619513168928
ZNF385D	ENSG00000102178	1	16.6962205537062
ZNF385D	ENSG00000165698	1	16.6956998450429
ZNF385D	ENSG00000128645	1	16.5478628881136
ZNF385D	ENSG00000283880	1	16.5147873240169
ZNF385D	ENSG00000183971	1	16.5093919573072
ZNF385D	ENSG00000176407	1	16.4966631643417
ZNF385D	ENSG00000118894	1	16.4175068303003
ZNF385D	ENSG00000160172	1	16.3448970013338
ZNF385D	ENSG00000260475	1	16.3436158595862
ZNF385D	ENSG00000169218	1	16.2979903020912
ZNF385D	ENSG00000205090	1	16.2619893109219
ZNF385D	ENSG00000155287	1	16.2299485327694
ZNF385D	ENSG00000132846	1	16.2187322368457
ZNF385D	ENSG00000176887	1	16.0701872752521
ZNF385D	ENSG00000160999	1	16.0650980117139
ZNF385D	ENSG00000132646	1	16.0100752083763
ZNF385D	ENSG00000127870	1	16.0025338133747
ZNF385D	ENSG00000175197	1	15.9841349377417
GATA2	ENSG00000275676	1	15.9266587209054
ZNF385D	ENSG00000183814	1	15.9175328593091
ZNF385D	ENSG00000099942	1	15.9018346079921
ZNF385D	ENSG00000130449	1	15.8699270973756
ZNF385D	ENSG00000105193	1	15.8555459216823
ZNF385D	ENSG00000187514	1	15.8324026163791
ZNF385D	ENSG00000071889	1	15.7747060868847
ZNF385D	ENSG00000275111	1	15.7659580993386
ZNF385D	ENSG00000131398	1	15.5382384191623
ZNF385D	ENSG00000148824	1	15.4542078721421
ZNF385D	ENSG00000179950	1	15.451849691474
ZNF385D	ENSG00000143774	1	15.3514991740365
ZNF385D	ENSG00000167962	1	15.3222843742649
ZNF385D	ENSG00000130414	1	15.2911969469419
ZNF385D	ENSG00000143319	1	15.2523729805096
ZNF385D	ENSG00000196072	1	15.2460436586465
ZNF385D	ENSG00000127423	1	15.2409629104506
GATA2	ENSG00000255663	1	15.2051849964763
ZNF385D	ENSG00000258325	1	15.2037269136938
ZNF385D	ENSG00000075399	1	15.1577659671164
