tf	gene	motif	force
ZNF322	ENSG00000228028	1	23.600890466379
ZNF341	ENSG00000268836	1	23.3641991669839
ZNF385D	ENSG00000272829	1	18.8685026245418
ZNF385D	ENSG00000277368	1	18.2753062775813
ZNF385D	ENSG00000186075	1	17.2650665189849
ZNF385D	ENSG00000236528	1	16.9094800811277
ZNF385D	ENSG00000102178	1	16.7953196995765
ZNF385D	ENSG00000232671	1	16.779251710068
ZNF385D	ENSG00000268129	1	16.7692252017441
ZNF385D	ENSG00000178913	1	16.7264495616929
ZNF385D	ENSG00000165698	1	16.6766389981015
ZNF385D	ENSG00000176407	1	16.5497637480044
ZNF385D	ENSG00000128645	1	16.5489963848714
ZNF385D	ENSG00000155287	1	16.4963657474215
ZNF385D	ENSG00000118894	1	16.422092874137
ZNF385D	ENSG00000283880	1	16.4205375752058
ZNF385D	ENSG00000183971	1	16.3275952621774
ZNF385D	ENSG00000260475	1	16.2688715718962
ZNF385D	ENSG00000160172	1	16.2288283518087
ZNF385D	ENSG00000127870	1	16.2143206359889
ZNF385D	ENSG00000099942	1	16.1717375294967
ZNF385D	ENSG00000169218	1	16.1680131779613
ZNF385D	ENSG00000132646	1	16.1060527213875
ZNF385D	ENSG00000175197	1	16.0246686204349
ZNF385D	ENSG00000205090	1	15.9895165970454
GATA2	ENSG00000275676	1	15.9832697450127
ZNF385D	ENSG00000160999	1	15.9563868919632
ZNF385D	ENSG00000130449	1	15.8778223459962
ZNF385D	ENSG00000183814	1	15.8573546621364
ZNF385D	ENSG00000071889	1	15.8395376954765
ZNF385D	ENSG00000275111	1	15.8347509137288
ZNF385D	ENSG00000132846	1	15.7386439987725
ZNF385D	ENSG00000176887	1	15.7158310042181
ZNF385D	ENSG00000105193	1	15.6763322940086
ZNF385D	ENSG00000187514	1	15.6525858749629
ZNF385D	ENSG00000196072	1	15.4719218035631
ZNF385D	ENSG00000179950	1	15.4366261961311
ZNF385D	ENSG00000148824	1	15.4362469298544
ZNF385D	ENSG00000131398	1	15.3893408615076
ZNF385D	ENSG00000143319	1	15.3646895864423
ZNF385D	ENSG00000130414	1	15.3353688321817
